CASE_NUMBER,DATE,VICTIMIZATION_PRIMARY,INCIDENT_PRIMARY,GUNSHOT_INJURY_I,COMMUNITY_AREA,STREET_OUTREACH_ORGANIZATION,AREA,DISTRICT,BEAT,AGE,SEX,RACE,VICTIMIZATION_IUCR_SECONDARY,MONTH,DAY_OF_WEEK,HOUR,LOCATION_DESCRIPTION
JE236977,5/20/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644,4,15,1513,30-39,M,BLK,AGGRAVATED - HANDGUN,5,5,23,STREET
JE237004,5/21/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1532,20-29,M,BLK,AGGRAVATED - HANDGUN,5,6,0,STREET
JE237082,5/21/21,BATTERY,HOMICIDE,YES,ENGLEWOOD,TADC Englewood | READI 60621 | Public Equity Englewood,1,7,712,30-39,M,BLK,AGGRAVATED - HANDGUN,5,6,2,STREET
JE237113,5/21/21,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,1,3,323,20-29,F,BLK,AGGRAVATED - HANDGUN,5,6,2,SIDEWALK
JE237910,5/21/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1115,30-39,M,BLK,AGGRAVATED - HANDGUN,5,6,17,RESIDENCE
JE238089,5/21/21,BATTERY,BATTERY,YES,ENGLEWOOD,TADC Englewood | READI 60621 | Public Equity Englewood,1,7,732,40-49,F,BLK,AGGRAVATED - HANDGUN,5,6,22,STREET
JE238180,5/21/21,BATTERY,BATTERY,YES,EAST GARFIELD PARK,UCAN North Lawndale | READI 60624 | Breakthrough East Garfield Park,4,11,1134,30-39,M,BLK,AGGRAVATED - HANDGUN,5,6,23,GAS STATION
JE238273,5/22/21,BATTERY,BATTERY,YES,EAST GARFIELD PARK,READI 60624 | Breakthrough East Garfield Park,4,11,1123,20-29,M,BLK,AGGRAVATED - HANDGUN,5,7,2,SIDEWALK
JE238324,5/22/21,BATTERY,BATTERY,YES,EAST GARFIELD PARK,READI 60624 | Breakthrough East Garfield Park,4,11,1123,30-39,M,BLK,AGGRAVATED - HANDGUN,5,7,3,GAS STATION
JE239109,5/22/21,BATTERY,HOMICIDE,YES,WASHINGTON PARK,Acclivus Washington Park,1,2,225,50-59,M,BLK,AGGRAVATED - HANDGUN,5,7,19,STREET
JE239109,5/22/21,BATTERY,HOMICIDE,YES,WASHINGTON PARK,Acclivus Washington Park,1,2,225,30-39,M,BLK,AGGRAVATED - HANDGUN,5,7,19,STREET
JE239449,5/23/21,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,1,3,323,20-29,F,BLK,AGGRAVATED - HANDGUN,5,1,1,SIDEWALK
JE239457,5/23/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1132,0-19,M,BLK,AGGRAVATED - HANDGUN,5,1,1,SIDEWALK
